"Business Name","Slug","NFC URL","Google Review URL"
"Jimmy Hair Studio","jimmy-hair-studio","https://connorgorman.ca/r/jimmy-hair-studio","https://search.google.com/local/writereview?placeid=ChIJ-b5dxviq0kwREjm2c7sJifw"
"King's Town Massage Therapy & Wellness","kings-town-massage-therapy-wellness","https://connorgorman.ca/r/kings-town-massage-therapy-wellness","https://search.google.com/local/writereview?placeid=ChIJcfioT_Kn0kwRAKnyfdPnhdQ"
"Kingston Massage Therapy","kingston-massage-therapy","https://connorgorman.ca/r/kingston-massage-therapy","https://search.google.com/local/writereview?placeid=ChIJa-8aoh-t0kwRyak8_AfcK2Q"
"Kingston Nails Spa Salon","kingston-nails-spa-salon","https://connorgorman.ca/r/kingston-nails-spa-salon","https://search.google.com/local/writereview?placeid=ChIJaXrYnHCr0kwRy0gb6VW7ePs"
"Limestone Therapies","limestone-therapies","https://connorgorman.ca/r/limestone-therapies","https://search.google.com/local/writereview?placeid=ChIJU-Bfh0is0kwRcwAJD6S4I18"
"Lotus and Lavender Day Spa","lotus-and-lavender-day-spa","https://connorgorman.ca/r/lotus-and-lavender-day-spa","https://search.google.com/local/writereview?placeid=ChIJR29LiFut0kwRF93wfmKk1-Y"
"MD Massage Therapy","md-massage-therapy","https://connorgorman.ca/r/md-massage-therapy","https://search.google.com/local/writereview?placeid=ChIJMzcsJtyr0kwRPkmbr7Ez4A8"
"Oak and Ivory Hair Co.","oak-and-ivory-hair-co","https://connorgorman.ca/r/oak-and-ivory-hair-co","https://search.google.com/local/writereview?placeid=ChIJ21LCTJOr0kwRDkJAy20g0rk"
"Prana Healing","prana-healing","https://connorgorman.ca/r/prana-healing","https://search.google.com/local/writereview?placeid=ChIJ03208IGt0kwRT744Ax2NDkE"
"Salon Yetmir","salon-yetmir","https://connorgorman.ca/r/salon-yetmir","https://search.google.com/local/writereview?placeid=ChIJq3AJ0las0kwRcb3IZ71MQ1A"
"Simon Buchan, R.M.T.","simon-buchan-r-m-t","https://connorgorman.ca/r/simon-buchan-r-m-t","https://search.google.com/local/writereview?placeid=ChIJI28oL4g2K4gRd--8TEsZd0s"
"Symphony Spa & Yoga","symphony-spa-yoga","https://connorgorman.ca/r/symphony-spa-yoga","https://search.google.com/local/writereview?placeid=ChIJQQerwwCr0kwRfGGQTH9NxxM"
"The Artistry Collective","the-artistry-collective","https://connorgorman.ca/r/the-artistry-collective","https://search.google.com/local/writereview?placeid=ChIJ5wrmZ1Wq0kwR0RLbbgfhoSM"
"The Barber's Philosophy","the-barbers-philosophy","https://connorgorman.ca/r/the-barbers-philosophy","https://search.google.com/local/writereview?placeid=ChIJDZRScrpUhQoRX-98u9hbPxs"
"U Nail & Spa","u-nail-spa","https://connorgorman.ca/r/u-nail-spa","https://search.google.com/local/writereview?placeid=ChIJmwhgs8ep0kwR66egaB2DQKI"
"Wellington Acupuncture & Massage","wellington-acupuncture-massage","https://connorgorman.ca/r/wellington-acupuncture-massage","https://search.google.com/local/writereview?placeid=ChIJI7mnhFWq0kwR6ituScBa9YM"
"1212 SPA","1212-spa","https://connorgorman.ca/r/1212-spa","https://search.google.com/local/writereview?placeid=ChIJe66k6EtVzUwRgIooImDZ1KE"
"Aura Skin and Soul Care","aura-skin-and-soul-care","https://connorgorman.ca/r/aura-skin-and-soul-care","https://search.google.com/local/writereview?placeid=ChIJq7l58Kyt0kwR5xNBI_xt6OA"
"Kingston","kingston","https://connorgorman.ca/r/kingston","https://search.google.com/local/writereview?placeid=ChIJqY5AdAar0kwR6tnWFXdJpXY"
"Trailhead","trailhead","https://connorgorman.ca/r/trailhead","https://search.google.com/local/writereview?placeid=ChIJ_U8naQCr0kwRDjo3bFS20lQ"
"HEAL Wellness","heal-wellness","https://connorgorman.ca/r/heal-wellness","https://search.google.com/local/writereview?placeid=ChIJQ07oVQ-r0kwRyesiS-neE-E"
"Frontenac Cycle","frontenac-cycle","https://connorgorman.ca/r/frontenac-cycle","https://search.google.com/local/writereview?placeid=ChIJ29PXpwCr0kwRTxmDGnNJhYU"
"Ray","ray","https://connorgorman.ca/r/ray","https://search.google.com/local/writereview?placeid=ChIJzfcyPq-r0kwRFf_Y5M4XT1I"
"Jinx Hair Lab","jinx-hair-lab","https://connorgorman.ca/r/jinx-hair-lab","https://search.google.com/local/writereview?placeid=ChIJsXmJBJKr0kwRaAesPhJB1FI"
"Yellow Bike Action","yellow-bike-action","https://connorgorman.ca/r/yellow-bike-action","https://search.google.com/local/writereview?placeid=ChIJjYKmOKmr0kwRts5Btm9yn2A"
"Princess Street Physiotherapy & Sports Rehab, Kingston, Ontario","princess-street-physiotherapy-sports-rehab-kingston-ontario","https://connorgorman.ca/r/princess-street-physiotherapy-sports-rehab-kingston-ontario","https://search.google.com/local/writereview?placeid=ChIJ_WR0ccer0kwRtqTjTILEcYI"
"JD Physiotherapy","jd-physiotherapy","https://connorgorman.ca/r/jd-physiotherapy","https://search.google.com/local/writereview?placeid=ChIJBUFtTXyr0kwR2Imqxmx0lww"
"Magicuts","magicuts","https://connorgorman.ca/r/magicuts","https://search.google.com/local/writereview?placeid=ChIJ9_1_oJur0kwROueCTGAkQwE"
"Wellwise Home Health & Wellness","wellwise-home-health-wellness","https://connorgorman.ca/r/wellwise-home-health-wellness","https://search.google.com/local/writereview?placeid=ChIJb0ceKpur0kwRfVB9aQVD5H0"
"Porch Hair Salon","porch-hair-salon","https://connorgorman.ca/r/porch-hair-salon","https://search.google.com/local/writereview?placeid=ChIJ5VMOQOGr0kwR0C2Q5rvuzks"
"Rick's Bike Repair","ricks-bike-repair","https://connorgorman.ca/r/ricks-bike-repair","https://search.google.com/local/writereview?placeid=ChIJ4UqWOoup0kwRZKZrUBEcjLw"
"Soothing Oasis Spa","soothing-oasis-spa","https://connorgorman.ca/r/soothing-oasis-spa","https://search.google.com/local/writereview?placeid=ChIJkX6s1cyo0kwRQ1xISNNOLz8"
"CS Physiotherapy & Wellness Centre","cs-physiotherapy-wellness-centre","https://connorgorman.ca/r/cs-physiotherapy-wellness-centre","https://search.google.com/local/writereview?placeid=ChIJ38BTV9mt0kwRyelgdzuOGnI"
"R L Fletcher Bicycle Repair","r-l-fletcher-bicycle-repair","https://connorgorman.ca/r/r-l-fletcher-bicycle-repair","https://search.google.com/local/writereview?placeid=ChIJpQd4kXas0kwRwqWU1dP3_rY"
"Pedal Works Café & Studios","pedal-works-caf-studios","https://connorgorman.ca/r/pedal-works-caf-studios","https://search.google.com/local/writereview?placeid=ChIJZYNq8kit0kwRtrNZp6sJb_U"
"Physiotherapy Kingston - CBI Health","physiotherapy-kingston-cbi-health","https://connorgorman.ca/r/physiotherapy-kingston-cbi-health","https://search.google.com/local/writereview?placeid=ChIJa3x54aGr0kwRgYApSaFP5VY"
"J&J Cycle","j-j-cycle","https://connorgorman.ca/r/j-j-cycle","https://search.google.com/local/writereview?placeid=ChIJMfrCQ3vBVkARoBp1UqK7vf4"
"The Right Move Physiotherapy and Health Management Inc.","the-right-move-physiotherapy-and-health-management-inc","https://connorgorman.ca/r/the-right-move-physiotherapy-and-health-management-inc","https://search.google.com/local/writereview?placeid=ChIJo9VAHfGs0kwRp1Msn_GvbjE"
"Westside Cycle & Café","westside-cycle-caf","https://connorgorman.ca/r/westside-cycle-caf","https://search.google.com/local/writereview?placeid=ChIJx2akfbit0kwRAkXJFBLE8I0"
"K-TOWN Physiotherapy Arlington","k-town-physiotherapy-arlington","https://connorgorman.ca/r/k-town-physiotherapy-arlington","https://search.google.com/local/writereview?placeid=ChIJwV9xfw-t0kwR5FSpVLAIBpc"
"Lifemark Physiotherapy Blackburn & Taylor Kidd","lifemark-physiotherapy-blackburn-taylor-kidd","https://connorgorman.ca/r/lifemark-physiotherapy-blackburn-taylor-kidd","https://search.google.com/local/writereview?placeid=ChIJKUjzJfqs0kwRGcJWPq-waIc"
"Move Authentically Physiotherapy","move-authentically-physiotherapy","https://connorgorman.ca/r/move-authentically-physiotherapy","https://search.google.com/local/writereview?placeid=ChIJtzO8FJyr0kwR6llYU9volF8"
"Riders Gears spot","riders-gears-spot","https://connorgorman.ca/r/riders-gears-spot","https://search.google.com/local/writereview?placeid=ChIJ8QkRqX-t0kwRAlbaONgf_vE"
"K-TOWN Physiotherapy West","k-town-physiotherapy-west","https://connorgorman.ca/r/k-town-physiotherapy-west","https://search.google.com/local/writereview?placeid=ChIJt3A22DKs0kwRNhx7IVyuLrc"
"Best Health Physiotherapy","best-health-physiotherapy","https://connorgorman.ca/r/best-health-physiotherapy","https://search.google.com/local/writereview?placeid=ChIJs8Z1zNat0kwRzmSmrjJsnbw"
"Kingston Athletic Therapy Centre","kingston-athletic-therapy-centre","https://connorgorman.ca/r/kingston-athletic-therapy-centre","https://search.google.com/local/writereview?placeid=ChIJs2yYo9at0kwRdgWrkEPOTmY"
"Beauty & Wellness Collective","beauty-wellness-collective","https://connorgorman.ca/r/beauty-wellness-collective","https://search.google.com/local/writereview?placeid=ChIJWxHyF9St0kwRPOPPOruv-sM"
"PROGRESS PHYSIOTHERAPY","progress-physiotherapy","https://connorgorman.ca/r/progress-physiotherapy","https://search.google.com/local/writereview?placeid=ChIJxzw7N0as0kwROPTdrlOsM_8"
"Bayridge Physiotherapy","bayridge-physiotherapy","https://connorgorman.ca/r/bayridge-physiotherapy","https://search.google.com/local/writereview?placeid=ChIJRRWBdaSt0kwRiaH73RcPZVU"
"💈Fade District 💈","fade-district","https://connorgorman.ca/r/fade-district","https://search.google.com/local/writereview?placeid=ChIJU018CgCt0kwRg6lxGNSFDkY"
"The Bike Medic","the-bike-medic","https://connorgorman.ca/r/the-bike-medic","https://search.google.com/local/writereview?placeid=ChIJPWcFt_Kz0kwRYGTMzu43Bmg"
"Trek Bicycle Kingston","trek-bicycle-kingston","https://connorgorman.ca/r/trek-bicycle-kingston","https://search.google.com/local/writereview?placeid=ChIJz7OhJqir0kwRdMgWxACQupc"
"Spaveya","spaveya","https://connorgorman.ca/r/spaveya","https://search.google.com/local/writereview?placeid=ChIJXVtW9rir0kwR6deRKiGyq7I"
"Student Wellness Services","student-wellness-services","https://connorgorman.ca/r/student-wellness-services","https://search.google.com/local/writereview?placeid=ChIJKTKRnxyr0kwRxwnWwg9oOko"
